position,depth,mode,threads,best_move,best_score,nodes,time_seconds,speedup,efficiency
LAT-ch,4,sequential,1,"(3,6) -> (0,6)",-1030,34884,0.019564,1,1
LAT-ch,4,parallel,1,"(3,6) -> (0,6)",-1030,34884,0.019776,0.98928,0.98928
LAT-ch,4,parallel,2,"(3,6) -> (0,6)",-1030,34884,0.011125,1.75856,0.879281
LAT-ch,4,parallel,4,"(3,6) -> (0,6)",-1030,34884,0.008505,2.30029,0.575073
LAT-ch,4,parallel,8,"(3,6) -> (0,6)",-1030,34884,0.006311,3.09998,0.387498
LAT-ch,5,sequential,1,"(7,5) -> (7,6)",-850,69721,0.226465,1,1
LAT-ch,5,parallel,1,"(7,5) -> (7,6)",-850,69721,0.207817,1.08973,1.08973
LAT-ch,5,parallel,2,"(7,5) -> (7,6)",-850,69721,0.113415,1.99678,0.998391
LAT-ch,5,parallel,4,"(7,5) -> (7,6)",-850,69721,0.072896,3.10669,0.776672
LAT-ch,5,parallel,8,"(7,5) -> (7,6)",-850,69721,0.051903,4.36324,0.545404
LAT-ch,6,sequential,1,"(3,6) -> (0,6)",-1120,832931,0.709552,1,1
LAT-ch,6,parallel,1,"(3,6) -> (0,6)",-1120,832931,0.616814,1.15035,1.15035
LAT-ch,6,parallel,2,"(3,6) -> (0,6)",-1120,832931,0.86078,0.824313,0.412156
LAT-ch,6,parallel,4,"(3,6) -> (0,6)",-1120,832931,0.728372,0.974162,0.24354
LAT-ch,6,parallel,8,"(3,6) -> (0,6)",-1120,832931,0.422413,1.67976,0.20997
Riga-ch,4,sequential,1,"(3,0) -> (6,0)",300,7211,0.008672,1,1
Riga-ch,4,parallel,1,"(3,0) -> (6,0)",300,7211,0.010682,0.811833,0.811833
Riga-ch,4,parallel,2,"(3,0) -> (6,0)",300,7211,0.005374,1.6137,0.806848
Riga-ch,4,parallel,4,"(3,0) -> (6,0)",300,7211,0.003393,2.55585,0.638963
Riga-ch,4,parallel,8,"(3,0) -> (6,0)",300,7211,0.002753,3.15002,0.393752
Riga-ch,5,sequential,1,"(3,0) -> (6,0)",200,24469,0.074847,1,1
Riga-ch,5,parallel,1,"(3,0) -> (6,0)",200,24469,0.075984,0.985036,0.985036
Riga-ch,5,parallel,2,"(3,0) -> (6,0)",200,24469,0.05065,1.47773,0.738865
Riga-ch,5,parallel,4,"(3,0) -> (6,0)",200,24469,0.026821,2.79061,0.697653
Riga-ch,5,parallel,8,"(3,0) -> (6,0)",200,24469,0.018142,4.12562,0.515703
Riga-ch,6,sequential,1,"(3,0) -> (6,0)",300,206011,0.903304,1,1
Riga-ch,6,parallel,1,"(3,0) -> (6,0)",300,206011,0.517774,1.74459,1.74459
Riga-ch,6,parallel,2,"(3,0) -> (6,0)",300,206011,0.279032,3.23728,1.61864
Riga-ch,6,parallel,4,"(3,0) -> (6,0)",300,206011,0.151548,5.96051,1.49013
Riga-ch,6,parallel,8,"(3,0) -> (6,0)",300,206011,0.127062,7.10916,0.888645
Riga-ch,4,sequential,1,"(5,4) -> (4,4)",-220,12668,0.010637,1,1
Riga-ch,4,parallel,1,"(3,6) -> (0,6)",-220,12668,0.011636,0.914146,0.914146
Riga-ch,4,parallel,2,"(3,6) -> (0,6)",-220,12668,0.005928,1.79437,0.897183
Riga-ch,4,parallel,4,"(3,6) -> (0,6)",-220,12668,0.002886,3.68572,0.921431
Riga-ch,4,parallel,8,"(3,6) -> (0,6)",-220,12668,0.00223,4.76996,0.596244
Riga-ch,5,sequential,1,"(5,4) -> (4,4)",-220,27138,0.090895,1,1
Riga-ch,5,parallel,1,"(3,6) -> (0,6)",-220,27138,0.090554,1.00377,1.00377
Riga-ch,5,parallel,2,"(3,6) -> (0,6)",-220,27138,0.051685,1.75863,0.879317
Riga-ch,5,parallel,4,"(3,6) -> (0,6)",-220,27138,0.026027,3.49233,0.873084
Riga-ch,5,parallel,8,"(3,6) -> (0,6)",-220,27138,0.016881,5.38446,0.673057
Riga-ch,6,sequential,1,"(6,6) -> (7,7)",-320,280059,0.259903,1,1
Riga-ch,6,parallel,1,"(3,6) -> (2,6)",-320,280059,0.25372,1.02437,1.02437
Riga-ch,6,parallel,2,"(3,6) -> (2,6)",-320,280059,0.150791,1.7236,0.861799
Riga-ch,6,parallel,4,"(3,6) -> (2,6)",-320,280059,0.087607,2.96669,0.741673
Riga-ch,6,parallel,8,"(3,6) -> (2,6)",-320,280059,0.061223,4.24519,0.530648
