position,depth,mode,threads,best_move,best_score,nodes,time_seconds,speedup,efficiency
LAT-ch,4,sequential,1,"(3,6) -> (0,6)",-1030,857,0.00216981,1,1
LAT-ch,4,parallel,1,"(3,6) -> (0,6)",-1030,883,0.00234689,0.924544,0.924544
LAT-ch,4,parallel,2,"(3,6) -> (0,6)",-1030,883,0.00306833,0.707161,0.35358
LAT-ch,4,parallel,4,"(3,6) -> (0,6)",-1030,883,0.00191611,1.1324,0.2831
LAT-ch,4,parallel,8,"(3,6) -> (0,6)",-1030,883,0.00266805,0.813256,0.101657
LAT-ch,4,parallel,16,"(3,6) -> (0,6)",-1030,883,0.0197408,0.109915,0.00686969
LAT-ch,5,sequential,1,"(7,5) -> (7,6)",-850,2850,0.00610097,1,1
LAT-ch,5,parallel,1,"(7,5) -> (7,6)",-850,3004,0.00627171,0.972777,0.972777
LAT-ch,5,parallel,2,"(7,5) -> (7,6)",-850,3015,0.00549695,1.10988,0.554941
LAT-ch,5,parallel,4,"(7,5) -> (7,6)",-850,3031,0.00503885,1.21079,0.302697
LAT-ch,5,parallel,8,"(7,5) -> (7,6)",-850,3031,0.00467242,1.30574,0.163218
LAT-ch,5,parallel,16,"(7,5) -> (7,6)",-850,3031,0.0120669,0.505597,0.0315998
LAT-ch,6,sequential,1,"(3,6) -> (0,6)",-1120,7073,0.0081189,1,1
LAT-ch,6,parallel,1,"(3,6) -> (0,6)",-1120,7271,0.00885297,0.917082,0.917082
LAT-ch,6,parallel,2,"(3,6) -> (0,6)",-1120,7271,0.00671915,1.20832,0.604162
LAT-ch,6,parallel,4,"(3,6) -> (0,6)",-1120,7271,0.00514847,1.57695,0.394238
LAT-ch,6,parallel,8,"(3,6) -> (0,6)",-1120,7271,0.0039334,2.06409,0.258011
LAT-ch,6,parallel,16,"(3,6) -> (0,6)",-1120,7271,0.0109227,0.743303,0.0464564
Riga-ch,4,sequential,1,"(3,0) -> (6,0)",300,1949,0.00213234,1,1
Riga-ch,4,parallel,1,"(3,0) -> (6,0)",300,2484,0.00298735,0.713788,0.713788
Riga-ch,4,parallel,2,"(3,0) -> (6,0)",300,2753,0.00281859,0.756527,0.378264
Riga-ch,4,parallel,4,"(3,0) -> (6,0)",300,2753,0.00162874,1.3092,0.327299
Riga-ch,4,parallel,8,"(3,0) -> (2,0)",300,1808,0.000859527,2.48083,0.310103
Riga-ch,4,parallel,16,"(0,6) -> (0,5)",300,1835,0.00828596,0.257343,0.016084
Riga-ch,5,sequential,1,"(0,6) -> (0,5)",300,5242,0.00978467,1,1
Riga-ch,5,parallel,1,"(3,0) -> (6,0)",200,12763,0.0161152,0.607169,0.607169
Riga-ch,5,parallel,2,"(3,0) -> (6,0)",200,14122,0.0163437,0.59868,0.29934
Riga-ch,5,parallel,4,"(3,0) -> (6,0)",200,14189,0.0108386,0.902763,0.225691
Riga-ch,5,parallel,8,"(3,0) -> (2,0)",200,7939,0.00526431,1.85868,0.232335
Riga-ch,5,parallel,16,"(3,0) -> (2,0)",200,11633,0.0111954,0.873992,0.0546245
Riga-ch,6,sequential,1,"(3,0) -> (6,0)",300,31342,0.0283464,1,1
Riga-ch,6,parallel,1,"(3,0) -> (6,0)",300,64749,0.0602424,0.470539,0.470539
Riga-ch,6,parallel,2,"(3,0) -> (6,0)",300,71229,0.0597404,0.474494,0.237247
Riga-ch,6,parallel,4,"(3,0) -> (6,0)",300,71229,0.0327382,0.865852,0.216463
Riga-ch,6,parallel,8,"(3,0) -> (6,0)",300,64749,0.0248022,1.1429,0.142862
Riga-ch,6,parallel,16,"(3,0) -> (6,0)",300,71229,0.0216435,1.3097,0.081856
Riga-ch,4,sequential,1,"(5,4) -> (4,4)",-220,2172,0.00193652,1,1
Riga-ch,4,parallel,1,"(5,4) -> (4,4)",-220,2210,0.00202708,0.955328,0.955328
Riga-ch,4,parallel,2,"(5,4) -> (4,4)",-220,3453,0.00165138,1.17267,0.586334
Riga-ch,4,parallel,4,"(5,4) -> (4,4)",-220,4028,0.000987428,1.96118,0.490295
Riga-ch,4,parallel,8,"(5,4) -> (4,4)",-220,5636,0.00138695,1.39625,0.174531
Riga-ch,4,parallel,16,"(5,4) -> (4,4)",-220,6826,0.00787528,0.245899,0.0153687
