position,depth,mode,threads,best_move,best_score,nodes,time_seconds,speedup,efficiency
LAT-ch,4,sequential,1,"(3,6) -> (0,6)",-1030,857,0.00268471,1,1
LAT-ch,4,parallel,1,"(3,6) -> (0,6)",-1030,883,0.00289571,0.927136,0.927136
LAT-ch,4,parallel,2,"(3,6) -> (0,6)",-1030,883,0.00332382,0.807719,0.403859
LAT-ch,4,parallel,4,"(3,6) -> (0,6)",-1030,883,0.00300261,0.894126,0.223532
LAT-ch,4,parallel,8,"(3,6) -> (0,6)",-1030,883,0.00309493,0.867454,0.108432
LAT-ch,4,parallel,16,"(3,6) -> (0,6)",-1030,883,0.00332941,0.806364,0.0503977
LAT-ch,5,sequential,1,"(7,5) -> (7,6)",-850,2850,0.00752883,1,1
LAT-ch,5,parallel,1,"(7,5) -> (7,6)",-850,3004,0.00787466,0.956083,0.956083
LAT-ch,5,parallel,2,"(7,5) -> (7,6)",-850,3015,0.00799662,0.941501,0.470751
LAT-ch,5,parallel,4,"(7,5) -> (7,6)",-850,3020,0.00791131,0.951654,0.237914
LAT-ch,5,parallel,8,"(7,5) -> (7,6)",-850,3020,0.00794642,0.947449,0.118431
LAT-ch,5,parallel,16,"(7,5) -> (7,6)",-850,3020,0.0081602,0.922627,0.0576642
LAT-ch,6,sequential,1,"(3,6) -> (0,6)",-1120,7073,0.0101512,1,1
LAT-ch,6,parallel,1,"(3,6) -> (0,6)",-1120,7271,0.011255,0.901929,0.901929
LAT-ch,6,parallel,2,"(3,6) -> (0,6)",-1120,7271,0.0114081,0.889823,0.444912
LAT-ch,6,parallel,4,"(3,6) -> (0,6)",-1120,7271,0.0113424,0.894976,0.223744
LAT-ch,6,parallel,8,"(3,6) -> (0,6)",-1120,7271,0.0113843,0.891685,0.111461
LAT-ch,6,parallel,16,"(3,6) -> (0,6)",-1120,7271,0.0115088,0.882037,0.0551273
Riga-ch,4,sequential,1,"(3,0) -> (6,0)",300,1949,0.00264182,1,1
Riga-ch,4,parallel,1,"(3,0) -> (6,0)",300,2484,0.00367812,0.718251,0.718251
Riga-ch,4,parallel,2,"(3,0) -> (6,0)",300,2753,0.00421961,0.626081,0.31304
Riga-ch,4,parallel,4,"(0,6) -> (0,5)",300,1475,0.00228614,1.15558,0.288895
Riga-ch,4,parallel,8,"(3,0) -> (4,0)",300,1812,0.00277283,0.952752,0.119094
Riga-ch,4,parallel,16,"(3,0) -> (4,0)",300,2081,0.00328359,0.804552,0.0502845
Riga-ch,5,sequential,1,"(0,6) -> (0,5)",300,5242,0.00853588,1,1
